NOM	_1891_1900	_1901_1910	_1911_1920	_1921_1930	_1931_1940	_1941_1950	_1951_1960	_1961_1970	_1971_1980	_1981_1990	_1991_2000
FOLSCHE	3	2	3	2	0	1	1	5	5	2	6
FOLSCHEID	0	0	2	1	0	4	2	0	7	11	8
FOLSCHWEILER	4	3	1	2	11	5	4	7	5	3	6
FOLSCHWEILLER	5	7	6	11	7	7	17	15	13	15	12
FOLTETE	6	16	26	14	14	32	30	29	21	25	28
FOLTIER	24	46	41	52	53	65	67	62	58	50	49
FOLTON	2	4	5	1	4	3	0	6	2	1	7
FOLTRAN	0	1	3	19	31	47	47	40	50	29	40
FOLTRAUER	0	2	1	2	6	5	6	8	5	7	2
FOLTYN	0	0	1	1	7	5	11	14	11	9	8
FOLTZ	22	44	53	46	53	57	67	71	64	53	42
FOLTZENLOGEL	2	16	7	9	6	10	10	9	5	9	6
FOLTZER	40	53	33	90	79	44	82	83	46	62	65
FOLY	6	17	9	15	15	19	21	20	17	24	11
FOLZ	10	22	17	22	13	23	16	13	14	15	17
FOLZAN	1	0	5	4	1	6	8	1	2	7	1
FOLZANT	2	1	2	1	1	2	1	6	7	2	5
FOLZENLOGEL	0	1	2	6	4	5	10	7	1	7	5
FOLZER	7	12	9	14	21	12	14	24	12	7	12
FOMBA	0	0	0	0	0	0	0	0	8	14	24
FOMBARD	0	1	5	4	1	10	9	15	15	12	18
FOMBARLET	6	5	11	12	11	10	13	7	8	6	4
FOMBARON	16	17	28	21	13	39	42	41	48	34	30
FOMBELLE	8	7	12	8	21	22	17	28	29	10	22
FOMBERTASSE	0	5	1	9	17	11	25	33	18	17	19
FOMBERTEAU	2	3	6	2	7	1	4	13	5	7	14
FOMBEUR	2	4	6	3	7	5	3	11	3	1	3
FOMBON	2	2	1	3	3	3	7	3	3	3	7
FOMBONNE	46	32	29	80	45	63	63	62	40	36	46
FOMBONNE DE GALATHEAU	0	0	2	0	3	6	2	7	4	2	5
FOMEL	0	4	2	8	5	8	10	9	10	12	10
FOMERAND	0	5	5	1	3	5	3	4	4	1	1
FOMMARTY	2	4	9	2	2	1	4	2	1	0	3
FOMOA	0	4	5	1	8	5	8	20	9	12	16
FOMPERINE	1	1	0	4	3	5	5	4	4	3	1
FOMPEYRINE	3	8	2	6	10	10	8	9	3	8	5
FOMPROIX	6	4	4	10	2	6	15	8	7	8	6
FOMPUDIE	3	3	6	5	6	6	7	4	8	2	1
FON	0	2	4	2	1	6	3	11	4	3	2
FONADE	2	3	7	7	5	8	10	13	10	14	3
FONANT	3	5	7	5	14	9	12	19	6	8	13
FONBONNAT	0	0	4	9	3	6	5	6	7	9	5
FONBONNE	8	8	16	22	10	24	32	12	16	18	15
FONCE	8	10	5	10	5	13	11	6	12	10	7
FONCEL	8	12	8	19	18	14	10	20	9	9	15
FONCELLE	9	8	8	19	8	18	11	19	7	10	17
FONCHAIN	16	13	3	10	6	1	12	8	10	9	4
FONCHY	4	3	4	7	8	5	10	11	8	7	9
FONCIER	8	10	7	4	8	13	12	10	10	7	8
FONCILLAS	0	2	5	5	2	9	11	16	16	10	11
FONCIN	8	14	7	6	6	8	16	8	9	14	12
FONCK	25	35	38	43	43	49	46	50	58	46	41
FONCLAUD	2	4	4	2	5	11	20	25	19	20	15
FONCROSE	6	8	2	8	3	7	7	2	3	3	2
FONCY	2	0	2	5	2	10	16	2	14	6	3
FOND	38	45	58	77	47	68	93	70	69	90	48
FONDA	4	11	11	17	4	15	20	16	14	17	12
FONDACARO	0	0	0	0	3	1	5	7	4	3	7
FONDACCI	14	27	30	26	40	48	43	32	32	40	37
FONDAIN	4	5	14	18	8	11	18	18	16	16	17
FONDAN	3	5	3	5	7	2	2	9	0	0	9
FONDANAICHE	1	11	1	0	3	6	1	6	3	0	4
FONDANECHE	4	7	2	9	6	3	11	11	10	6	9
FONDANESCHE	0	1	3	3	2	4	1	4	3	5	4
FONDARD	19	23	17	32	9	39	42	14	42	28	15
FONDARY	1	1	3	3	1	5	10	1	7	2	0
FONDBERTASSE	1	2	0	6	7	6	11	9	5	3	12
FONDE	5	4	1	7	4	11	12	8	5	8	9
FONDECAVE	18	22	18	18	12	24	12	16	25	18	6
FONDELOT	0	5	9	13	8	20	39	24	22	24	17
FONDEMENT	10	8	12	20	8	12	26	10	15	15	5
FONDER	12	11	8	25	17	16	23	29	26	32	14
FONDERE	3	21	13	11	15	17	12	16	13	7	15
FONDERFLICK	3	11	12	12	16	17	29	24	21	18	22
FONDET	4	6	5	9	0	4	0	3	3	0	1
FONDEUR	27	43	45	50	33	50	56	53	40	36	39
FONDEVIELLE	2	5	7	7	2	6	5	2	5	7	2
FONDEVILA	2	7	13	20	8	9	11	7	9	6	3
FONDEVILLA	0	3	4	4	6	8	6	7	4	10	8
FONDEVILLE	15	36	36	24	32	41	36	17	23	26	22
FONDEVIOLLE	8	5	6	9	12	10	12	16	3	16	15
FONDI	1	0	2	1	7	5	4	8	6	4	8
FONDIMARE	22	20	21	42	32	33	42	42	21	28	43
FONDIN	6	20	35	18	23	41	20	41	29	12	23
FONDRAS	9	15	10	8	9	11	19	6	9	8	8
FONDRAT	1	8	11	8	9	19	24	16	14	16	10
FONDRAZ	4	4	3	8	9	12	13	16	15	10	11
FONDRETON	0	5	6	3	4	9	4	3	5	0	3
FONDRIESCHI	0	0	0	0	10	2	9	8	1	8	7
FONDRIEST	0	0	1	6	10	9	8	13	11	13	2
FONDRILLON	12	17	21	15	23	21	18	21	15	7	17
FONDS	1	2	4	10	5	16	21	26	16	17	17
FONDU	4	8	6	12	14	14	19	26	19	17	30
FONDVILLE	0	7	7	4	7	4	3	3	2	0	0
FONFERRIER	3	7	3	5	6	2	6	4	4	3	3
FONFRAID	7	7	4	2	2	6	0	0	6	0	1
FONFREDE	21	20	17	35	28	33	46	30	25	18	17
FONFREIDE	3	4	6	11	4	8	11	8	12	5	3
FONFREYDE	5	12	12	7	10	7	8	13	6	3	7
FONFRIA	1	4	3	6	3	7	5	4	5	2	3
FONFRIDE	5	2	1	7	3	5	2	7	3	1	7
FONFROIDE DE LAFON	4	1	0	5	0	2	9	3	1	5	1
FONG	0	1	0	4	7	0	2	2	7	33	29
FONGARLAND	0	3	1	2	4	3	1	8	4	5	3
FONGARNAND	16	16	15	37	16	19	31	19	18	29	19
FONGARO	2	3	1	4	16	18	22	20	16	23	16
FONGAUFFIER	1	2	4	6	10	10	4	4	11	5	3
FONGAUFIER	5	1	3	8	2	2	4	3	3	4	1
FONGEALLAZ	16	17	9	12	11	9	5	7	7	0	4
FONGHETTI	0	0	0	2	5	1	3	6	7	5	4
FONGOND	3	3	3	3	1	8	6	3	11	6	2
FONGUEUSE	5	3	3	12	6	14	28	31	21	28	17
FONGY	5	17	4	9	13	6	10	16	8	9	5
